,Year,City,Stop Name,Stop Abbrev,Total Stops
455,2007,Berkeley,Ashby,AS,1330505.0
456,2007,San Jose,Berryessa / North San José,BE,0.0
457,2007,San Leandro,Bayfair,BF,1584698.0
458,2007,Berkeley,Berkeley,BK,3536902.0
459,2007,San Francisco,Balboa Park,BP,4013496.0
460,2007,San Francisco,Civic Center,CC,5795453.0
461,2007,Oakland,Coliseum,CL,2502278.0
462,2007,Colma,Colma,CM,989128.0
463,2007,Concord,Concord,CN,1558775.0
464,2007,Castro Valley,Castro Valley,CV,719869.0
465,2007,Daly City,Daly City,DC,2492008.0
466,2007,Dublin/Pleasanton,Dublin/Pleasanton,ED,2336289.0
467,2007,San Francisco,Embarcadero,EM,9696683.0
468,2007,El Cerrito,El Cerrito Del Norte,EN,2331275.0
469,2007,El Cerrito,El Cerrito Plaza,EP,1237621.0
470,2007,Fremont,Fremont,FM,2037757.0
471,2007,Oakland,Fruitvale,FV,2228250.0
472,2007,San Francisco,Glen Park,GP,2233827.0
473,2007,Hayward,Hayward,HY,1334197.0
474,2007,Lafayette,Lafayette,LF,953431.0
475,2007,Oakland,Lake Merritt,LM,1618524.0
476,2007,Oakland,MacArthur,MA,2138117.0
477,2007,Millbrae,Millbrae,MB,1167906.0
478,2007,Milpitas,Milpitas,ML,0.0
479,2007,San Francisco,Montgomery Street,MT,9262120.0
480,2007,Berkeley,North Berkeley,NB,1163646.0
481,2007,Concord,North Concord,NC,546296.0
482,2007,Oakland,Oakland International Airport,OA,0.0
483,2007,Orinda,Orinda,OR,802605.0
484,2007,Oakland,West Oakland,OW,1460145.0
485,2007,Pittsburg,Pittsburg Center,PC,0.0
486,2007,Pleasant Hill,Pleasant Hill,PH,1698134.0
487,2007,San Francisco,Powell Street,PL,9149707.0
488,2007,Richmond,Richmond,RM,999385.0
489,2007,Oakland,Rockridge,RR,1506908.0
490,2007,San Bruno,San Bruno,SB,677715.0
491,2007,Hayward,South Hayward,SH,855588.0
492,2007,San Leandro,San Leandro,SL,1505867.0
